,Tweet,VADERsentiment
111,"swapo elimo nayi ku hage lou lou , made plan show nuuyoma true king is. ' blindly follow sinking ship",Positive
112,"way go , boers spoed swapo nunw 32 good years , viva brave son namibia standing poor black compatriots mistreated capitalist whilst black elites grn eating whites foreigners , ranga , muniaro",Positive
113,"straightforward message , line popular general mood continent self determination national independence swapo party formed , progressive liberation movement .",Positive
114,shackez95 treat swapo like egg,Positive
115,swapo myth one day,Neutral
116,"message excellency dr. , president republic namibia president swapo party occasion 62nd anniversary swapo party #onlyswapo #swapo #swapo62",Positive
117,neeh man already man stop swapo,Negative
118,ano swapo require much defending ?,Neutral
119,happy birthday mighty swapo party ..,Positive
120,swapo secretary general sophia shaningwa says swapo treated care like egg.,Positive
121,tweet reveal swapo supporters anyway also want office national headquarters,Positive
122,swapo party women ' council spwc secretary fransina kahungu committed training future political leaders party today celebrated 62nd birthday.,Positive
123,"namibians , swapo treat namibians like eggs like shit , every week passes insulted swapo dictators , time come , maybe change like dta venaani start eating ruling party time 2024 ...",Positive
124,start treating swapo like egg know someone aromat,Positive
125,"swapo 60 , must retire get penjen go home",Neutral
126,swapo barcelona,Neutral
127,"gave birth group monsters , call swapo leaders tuu ? ?",Neutral
128,happy 62nd birthday swapo party grande old vanguard movement.,Positive
129,"swapo handclappers , comrades looking defenders.",Positive
130,last time something good country 1 april 1989. swapo 1 april 1989 misery us future generations. money blood nothing,Negative
131,symptoms dangerous girlfriend 1. iphone 13 2. natural hair 3. size 5 4. drinks carling black label 5. smokes hubbly 6. tattoos chest 7. swapo filter,Negative
132,today opo transformed swapo make inclusive namibian organization instead regional organization. therefore celebrate 62 years people party. happy 62 birthday vanguard people party. swapo united hard work ahead.,Positive
133,"meme sg must stop tippytoeing come say chest swapo need calibre ar activists. ' known fact celebrities proximity power fail defend party , preoccupied stomach ideological political empty heads.",Negative
134,swapo factions oshana region smoke peace pipe eleventh hour regional coordinator samuel nelongo canceled planned party birthday festivities netumbo nandi ndaitwah scheduled key speaker.,Positive
135,swapo grandfather,Neutral
136,"china russia cold war time see eye eye. china supported apartheid aligned fnla unita angola war umkhoto wesizwe , swapo , mpla cuba.",Negative
137,"party needs real defenders , pretenders. want young people take care party , shaningwa said swapo 62nd anniversary celebrations oshakati sunday. get namibian today !",Positive
138,mistake thinking everybody worship swapo born free ! !,Positive
139,"swapo turns 62 years today , secretary general sophia shaningwa urged members protect treat party egg become fragile vulnerable due divisions infighting.",Positive
140,swapo founded day,Neutral
141,"swapo public relation government public relation. passion whatsoever development narrative , stone face silence. inexplicable. seriously born frees believes whatever written namibian sun etc. impressionable know better .",Positive
142,"swapo secretary general sophia shaningwa said division , factionalism disunity entertained swapo. also warned members party jealously protect it. buy namibian !",Positive
143,"blame public relations team swapo , tell good things swapo done independence. wonder day day basis .",Positive
144,"mekondjo cases , complaints even taken serious government. complained vaccines , vaccinated. complained swapo , vote it. complained swapo yet one majority swapo voters.",Negative
145,"swapo ' oshana regional coordinator , samuel nelongo , last friday said would attend drive event sunday , says meeting swapo secretary general sophia shaningwa resolved differences.",Positive
146,"cde , ask pres question prepare swapo elective congress held later year , please tell still united slate 2017 congress ? earlier better ! bad ask.",Positive
147,vulnerable people getting vouchers use agra instead drought relief packages doorsteps ? people need spend money transport go shops. swapo people even bother think anymore. even owns aggra ?,Negative
